config,defense,clip_norm,noise_std,round,accuracy,loss,train_loss,learning_rate,update_norm,clipping_scale,noise_std_recorded
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,32,0.2829,1.9166,1.9469637723676956,0.018392374779746142,0.011770232989543074,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,33,0.2838,1.9129,1.9434495720662346,0.017092888469581215,0.010799927036178061,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,34,0.2858,1.9101,1.9395180901585056,0.01583616721301319,0.010071959874945106,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,35,0.2856,1.907,1.9360063716801257,0.014627375147251192,0.009248491484071843,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,36,0.2865,1.9042,1.9337409839814192,0.013471479458178498,0.008478232117831636,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,37,0.2878,1.9017,1.9314139727753599,0.01237322996912037,0.007745591720532716,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,38,0.2882,1.8998,1.9291517824773534,0.011337139622801133,0.007076924931480747,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,39,0.2877,1.8974,1.924913176715812,0.010367465936694477,0.006488380543378157,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,40,0.2897,1.8958,1.924902085405784,0.00946819350797098,0.005912602246078676,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,41,0.2889,1.8945,1.924409119664052,0.008643017639933586,0.005348519458763271,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,42,0.2905,1.8928,1.9206595198858607,0.007895329157223739,0.004906615446657845,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,43,0.2913,1.8915,1.9211367337165686,0.0072282004721955714,0.004476129463555509,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,44,0.2921,1.8901,1.9179978610289157,0.0066443729597145135,0.004121111526354552,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,45,0.2925,1.889,1.9165743469649528,0.006146245692259956,0.00380314916223024,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,46,0.2934,1.8885,1.9167847052783549,0.005735865581621837,0.0035210598133649405,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,47,0.2941,1.8872,1.9154046281968793,0.005414918967701028,0.003342180545414331,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,48,0.2942,1.8859,1.9134118713744375,0.005184724688976964,0.003194008259457973,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,49,0.2951,1.8847,1.911162289853537,0.005046228663117433,0.003118567047011774,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,50,0.2953,1.8844,1.913427226441736,0.005,0.0030720436601789245,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,0,0.1,2.9329,,,,,
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,1,0.1013,2.3243,2.376134641778857,0.05,0.11001250353633471,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,2,0.1252,2.2803,2.314735687508023,0.049953771336882564,0.0788742362956678,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,3,0.1556,2.2563,2.27211965985987,0.04981527531102303,0.06246220345926813,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,4,0.1609,2.231,2.25516233282558,0.04958508103229897,0.05765420770822772,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,5,0.1778,2.219,2.2329193279083817,0.049264134418378173,0.05540836534682998,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,6,0.1811,2.1948,2.220479146916483,0.04885375430774004,0.055166318906093276,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,7,0.185,2.1868,2.202203287292203,0.04835562704028548,0.05580886452002381,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,8,0.1969,2.1636,2.189140227456243,0.04777179952780443,0.057130370892335094,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,9,0.1927,2.157,2.1717798504461507,0.04710467084277627,0.0583467628929584,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,10,0.2103,2.1325,2.1611579722586596,0.04635698236006642,0.059082915168493066,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,11,0.2003,2.1252,2.143848698582314,0.04553180649202902,0.05811926392309621,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,12,0.2267,2.103,2.130011348189327,0.04463253406330553,0.05807344666638177,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,13,0.2046,2.094,2.1151539324593487,0.04366286037719887,0.05548260733811201,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,14,0.2361,2.0744,2.10059263749244,0.04262677003087963,0.05329079898817968,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,15,0.2147,2.063,2.088794876202398,0.04152852054182151,0.04973948764522509,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,16,0.2427,2.0443,2.0732157241464217,0.040372624852748826,0.04568382241142929,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,17,0.2307,2.0329,2.0607432130277323,0.03916383278698681,0.04175152137888224,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,18,0.2461,2.0171,2.0479129260227356,0.0379071115304188,0.03664294709110848,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,19,0.2515,2.0055,2.037544258356488,0.03660762522025386,0.03266530102155639,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,20,0.2527,1.9934,2.02600272254137,0.03527071372447942,0.028352490325815854,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,21,0.263,1.9837,2.0155520789402352,0.033901870699198235,0.025276031385364158,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,22,0.263,1.9738,2.0058066780921595,0.032506721014017075,0.02286144401499051,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,23,0.2713,1.9658,1.9966828516348758,0.03109099763825104,0.021097699681321996,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,24,0.2685,1.9589,1.9908395960149874,0.029660518082922846,0.019722905899069956,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,25,0.272,1.9515,1.9824468580816583,0.02822116049536225,0.018627946367445865,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,26,0.273,1.9453,1.9761721916547792,0.026778839504637757,0.01749692138276435,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,27,0.2744,1.9391,1.9689816235482644,0.025339481917077168,0.016581010443223503,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,28,0.2766,1.9342,1.9649388316488425,0.02390900236174898,0.015474113009163517,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,29,0.2783,1.929,1.9590569204363535,0.02249327898598293,0.014517395907787688,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,30,0.2805,1.9246,1.9546557894777825,0.021098129300801773,0.013571098964174997,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,31,0.2816,1.9206,1.9515956636130602,0.019729286275520584,0.0126019846387893,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,32,0.2831,1.9168,1.9469503600798022,0.018392374779746142,0.01177429376345416,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,33,0.2831,1.9132,1.9432809635534114,0.017092888469581215,0.010822299067123802,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,34,0.2837,1.9103,1.9396243614461148,0.01583616721301319,0.010020863698258317,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,35,0.2848,1.9073,1.9359085259541757,0.014627375147251192,0.00919791234616095,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,36,0.2855,1.9045,1.9337067030162727,0.013471479458178498,0.008483511456128435,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,37,0.287,1.9019,1.9315645605678875,0.01237322996912037,0.007794336591308864,0.9999999999999998,4.9999999999999996e-05
fedsgd_defutil_r50_noise_s000005,noise,0.0,5e-05,38,0.2878,1.9,1.9293211921166584,0.011337139622801133,0.00705241881162107,0.9999999999999998,4.9999999999999996e-05
